,상품명,가격
222,미소 생막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
223,미소 아이스,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다.)"
224,미인탁주,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
225,미인탁주,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
226,배상면주가,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
227,경상 · 대구 · 부산 · 울산 지역 술 ,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
228,바나나 주,"￦1,700 (가격은 판매처 별로 상이할 수 있습니다.)"
229,바랑 탁,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
230,밤꽃향기,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
231,밤,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)"
232,방문주 약주,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
233,방문주 탁주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
234,보리필무렵,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
235,배꽃담은 연 생막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
236,배도가 로아 40도 옐로우,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
237,경상 · 대구 · 부산 · 울산 지역 술 ,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
238,남은 이야기,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
239,백년향,"￦33,000(500ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
240,백련 맑은술,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
241,백련 생막걸리 snow (스노우),"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)"
242,백수환동주,"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)"
243,백운 복분자 와인,"￦7,000(가격은 판매처 별로 상이할 수 있습니다.)"
244,백운 복분자주,"￦7,000(가격은 판매처 별로 상이할 수 있습니다.)"
245,백자주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
246,한산주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
247,뱅꼬레 레드와인,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
248,뱅꼬레 로제와인,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
249,뱅꼬레 아이스와인,"￦90,000(가격은 판매처 별로 상이할 수 있습니다.)"
250,뱅꼬레 화이트와인,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
251,호주 와인 생산자,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
252,베베마루 캠벨로제 스위트,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
253,베베마루 캠벨로제,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
254,베베마루 캠벨로제 스위트,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
255,별바랑,"￦27,000 (가격은 판매처 별로 상이할 수 있습니다)"
256,병영설성 동동주,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다)"
257,병영설성 생막걸리,"￦3,500 (가격은 판매처 별로 상이할 수 있습니다)"
258,병영설성사또,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)"
259,병영소주,"￦25,000 (가격은 판매처별로 상이할 수 있습니다.)"
260,술헤는밤,"￦5,900 (가격은 판매처 별로 상이할 수 있습니다)"
261,복분자 아락,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)"
262,복분자음,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
263,복분자주 360,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
264,복순도가 손막걸리,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
265,복순도가 손 막걸리,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
266,복숭아와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
267,볼빨간막걸리 10,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)"
268,볼빨간막걸리 7,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
269,부자 10도,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
270,봉하쌀 생막걸리,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
271,부안 참뽕 막걸리,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)"
